Datum,Ferien
2013-03-25,Osterferien
2013-03-26,Osterferien
2013-03-27,Osterferien
2013-03-28,Osterferien
2013-03-29,Osterferien
2013-03-30,Osterferien
2013-03-31,Osterferien
2013-04-01,Osterferien
2013-04-02,Osterferien
2013-04-03,Osterferien
2013-04-04,Osterferien
2013-04-05,Osterferien
2013-04-06,Osterferien
2013-04-07,Osterferien
2013-04-08,Osterferien
2013-04-09,Osterferien
2013-05-10,Pfingsten
2013-06-24,Sommerferien
2013-06-25,Sommerferien
2013-06-26,Sommerferien
2013-06-27,Sommerferien
2013-06-28,Sommerferien
2013-06-29,Sommerferien
2013-06-30,Sommerferien
2013-07-01,Sommerferien
2013-07-02,Sommerferien
2013-07-03,Sommerferien
2013-07-04,Sommerferien
2013-07-05,Sommerferien
2013-07-06,Sommerferien
2013-07-07,Sommerferien
2013-07-08,Sommerferien
2013-07-09,Sommerferien
2013-07-10,Sommerferien
2013-07-11,Sommerferien
2013-07-12,Sommerferien
2013-07-13,Sommerferien
2013-07-14,Sommerferien
2013-07-15,Sommerferien
2013-07-16,Sommerferien
2013-07-17,Sommerferien
2013-07-18,Sommerferien
2013-07-19,Sommerferien
2013-07-20,Sommerferien
2013-07-21,Sommerferien
2013-07-22,Sommerferien
2013-07-23,Sommerferien
2013-07-24,Sommerferien
2013-07-25,Sommerferien
2013-07-26,Sommerferien
2013-07-27,Sommerferien
2013-07-28,Sommerferien
2013-07-29,Sommerferien
2013-07-30,Sommerferien
2013-07-31,Sommerferien
2013-08-01,Sommerferien
2013-08-02,Sommerferien
2013-08-03,Sommerferien
2013-10-04,Herbstferien
2013-10-05,Herbstferien
2013-10-06,Herbstferien
2013-10-07,Herbstferien
2013-10-08,Herbstferien
2013-10-09,Herbstferien
2013-10-10,Herbstferien
2013-10-11,Herbstferien
2013-10-12,Herbstferien
2013-10-13,Herbstferien
2013-10-14,Herbstferien
2013-10-15,Herbstferien
2013-10-16,Herbstferien
2013-10-17,Herbstferien
2013-10-18,Herbstferien
2013-12-23,Weihnachtsferien
2013-12-24,Weihnachtsferien
2013-12-25,Weihnachtsferien
2013-12-26,Weihnachtsferien
2013-12-27,Weihnachtsferien
2013-12-28,Weihnachtsferien
2013-12-29,Weihnachtsferien
2013-12-30,Weihnachtsferien
2013-12-31,Weihnachtsferien
2014-01-01,Weihnachtsferien
2014-01-02,Weihnachtsferien
2014-01-03,Weihnachtsferien
2014-01-04,Weihnachtsferien
2014-01-05,Weihnachtsferien
2014-01-06,Weihnachtsferien
2014-04-16,Osterferien
2014-04-17,Osterferien
2014-04-18,Osterferien
2014-04-19,Osterferien
2014-04-20,Osterferien
2014-04-21,Osterferien
2014-04-22,Osterferien
2014-04-23,Osterferien
2014-04-24,Osterferien
2014-04-25,Osterferien
2014-04-26,Osterferien
2014-04-27,Osterferien
2014-04-28,Osterferien
2014-04-29,Osterferien
2014-04-30,Osterferien
2014-05-01,Osterferien
2014-05-02,Osterferien
2014-05-30,Pfingsten
2014-07-14,Sommerferien
2014-07-15,Sommerferien
2014-07-16,Sommerferien
2014-07-17,Sommerferien
2014-07-18,Sommerferien
2014-07-19,Sommerferien
2014-07-20,Sommerferien
2014-07-21,Sommerferien
2014-07-22,Sommerferien
2014-07-23,Sommerferien
2014-07-24,Sommerferien
2014-07-25,Sommerferien
2014-07-26,Sommerferien
2014-07-27,Sommerferien
2014-07-28,Sommerferien
2014-07-29,Sommerferien
2014-07-30,Sommerferien
2014-07-31,Sommerferien
2014-08-01,Sommerferien
2014-08-02,Sommerferien
2014-08-03,Sommerferien
2014-08-04,Sommerferien
2014-08-05,Sommerferien
2014-08-06,Sommerferien
2014-08-07,Sommerferien
2014-08-08,Sommerferien
2014-08-09,Sommerferien
2014-08-10,Sommerferien
2014-08-11,Sommerferien
2014-08-12,Sommerferien
2014-08-13,Sommerferien
2014-08-14,Sommerferien
2014-08-15,Sommerferien
2014-08-16,Sommerferien
2014-08-17,Sommerferien
2014-08-18,Sommerferien
2014-08-19,Sommerferien
2014-08-20,Sommerferien
2014-08-21,Sommerferien
2014-08-22,Sommerferien
2014-08-23,Sommerferien
2014-10-13,Herbstferien
2014-10-14,Herbstferien
2014-10-15,Herbstferien
2014-10-16,Herbstferien
2014-10-17,Herbstferien
2014-10-18,Herbstferien
2014-10-19,Herbstferien
2014-10-20,Herbstferien
2014-10-21,Herbstferien
2014-10-22,Herbstferien
2014-10-23,Herbstferien
2014-10-24,Herbstferien
2014-10-25,Herbstferien
2014-12-22,Weihnachtsferien
2014-12-23,Weihnachtsferien
2014-12-24,Weihnachtsferien
2014-12-25,Weihnachtsferien
2014-12-26,Weihnachtsferien
2014-12-27,Weihnachtsferien
2014-12-28,Weihnachtsferien
2014-12-29,Weihnachtsferien
2014-12-30,Weihnachtsferien
2014-12-31,Weihnachtsferien
2015-01-01,Weihnachtsferien
2015-01-02,Weihnachtsferien
2015-01-03,Weihnachtsferien
2015-01-04,Weihnachtsferien
2015-01-05,Weihnachtsferien
2015-01-06,Weihnachtsferien
2015-04-01,Osterferien
2015-04-02,Osterferien
2015-04-03,Osterferien
2015-04-04,Osterferien
2015-04-05,Osterferien
2015-04-06,Osterferien
2015-04-07,Osterferien
2015-04-08,Osterferien
2015-04-09,Osterferien
2015-04-10,Osterferien
2015-04-11,Osterferien
2015-04-12,Osterferien
2015-04-13,Osterferien
2015-04-14,Osterferien
2015-04-15,Osterferien
2015-04-16,Osterferien
2015-04-17,Osterferien
2015-05-15,Pfingsten
2015-07-20,Sommerferien
2015-07-21,Sommerferien
2015-07-22,Sommerferien
2015-07-23,Sommerferien
2015-07-24,Sommerferien
2015-07-25,Sommerferien
2015-07-26,Sommerferien
2015-07-27,Sommerferien
2015-07-28,Sommerferien
2015-07-29,Sommerferien
2015-07-30,Sommerferien
2015-07-31,Sommerferien
2015-08-01,Sommerferien
2015-08-02,Sommerferien
2015-08-03,Sommerferien
2015-08-04,Sommerferien
2015-08-05,Sommerferien
2015-08-06,Sommerferien
2015-08-07,Sommerferien
2015-08-08,Sommerferien
2015-08-09,Sommerferien
2015-08-10,Sommerferien
2015-08-11,Sommerferien
2015-08-12,Sommerferien
2015-08-13,Sommerferien
2015-08-14,Sommerferien
2015-08-15,Sommerferien
2015-08-16,Sommerferien
2015-08-17,Sommerferien
2015-08-18,Sommerferien
2015-08-19,Sommerferien
2015-08-20,Sommerferien
2015-08-21,Sommerferien
2015-08-22,Sommerferien
2015-08-23,Sommerferien
2015-08-24,Sommerferien
2015-08-25,Sommerferien
2015-08-26,Sommerferien
2015-08-27,Sommerferien
2015-08-28,Sommerferien
2015-08-29,Sommerferien
2015-10-19,Herbstferien
2015-10-20,Herbstferien
2015-10-21,Herbstferien
2015-10-22,Herbstferien
2015-10-23,Herbstferien
2015-10-24,Herbstferien
2015-10-25,Herbstferien
2015-10-26,Herbstferien
2015-10-27,Herbstferien
2015-10-28,Herbstferien
2015-10-29,Herbstferien
2015-10-30,Herbstferien
2015-10-31,Herbstferien
2020-12-21,Weihnachtsferien
2020-12-22,Weihnachtsferien
2020-12-23,Weihnachtsferien
2020-12-24,Weihnachtsferien
2020-12-25,Weihnachtsferien
2020-12-26,Weihnachtsferien
2020-12-27,Weihnachtsferien
2020-12-28,Weihnachtsferien
2020-12-29,Weihnachtsferien
2020-12-30,Weihnachtsferien
2020-12-31,Weihnachtsferien
2021-01-01,Weihnachtsferien
2021-01-02,Weihnachtsferien
2021-01-03,Weihnachtsferien
2021-01-04,Weihnachtsferien
2021-01-05,Weihnachtsferien
2021-01-06,Weihnachtsferien
2016-03-24,Osterferien
2016-03-25,Osterferien
2016-03-26,Osterferien
2016-03-27,Osterferien
2016-03-28,Osterferien
2016-03-29,Osterferien
2016-03-30,Osterferien
2016-03-31,Osterferien
2016-04-01,Osterferien
2016-04-02,Osterferien
2016-04-03,Osterferien
2016-04-04,Osterferien
2016-04-05,Osterferien
2016-04-06,Osterferien
2016-04-07,Osterferien
2016-04-08,Osterferien
2016-04-09,Osterferien
2016-05-06,Pfingsten
2016-07-25,Sommerferien
2016-07-26,Sommerferien
2016-07-27,Sommerferien
2016-07-28,Sommerferien
2016-07-29,Sommerferien
2016-07-30,Sommerferien
2016-07-31,Sommerferien
2016-08-01,Sommerferien
2016-08-02,Sommerferien
2016-08-03,Sommerferien
2016-08-04,Sommerferien
2016-08-05,Sommerferien
2016-08-06,Sommerferien
2016-08-07,Sommerferien
2016-08-08,Sommerferien
2016-08-09,Sommerferien
2016-08-10,Sommerferien
2016-08-11,Sommerferien
2016-08-12,Sommerferien
2016-08-13,Sommerferien
2016-08-14,Sommerferien
2016-08-15,Sommerferien
2016-08-16,Sommerferien
2016-08-17,Sommerferien
2016-08-18,Sommerferien
2016-08-19,Sommerferien
2016-08-20,Sommerferien
2016-08-21,Sommerferien
2016-08-22,Sommerferien
2016-08-23,Sommerferien
2016-08-24,Sommerferien
2016-08-25,Sommerferien
2016-08-26,Sommerferien
2016-08-27,Sommerferien
2016-08-28,Sommerferien
2016-08-29,Sommerferien
2016-08-30,Sommerferien
2016-08-31,Sommerferien
2016-09-01,Sommerferien
2016-09-02,Sommerferien
2016-09-03,Sommerferien
2016-10-17,Herbstferien
2016-10-18,Herbstferien
2016-10-19,Herbstferien
2016-10-20,Herbstferien
2016-10-21,Herbstferien
2016-10-22,Herbstferien
2016-10-23,Herbstferien
2016-10-24,Herbstferien
2016-10-25,Herbstferien
2016-10-26,Herbstferien
2016-10-27,Herbstferien
2016-10-28,Herbstferien
2016-10-29,Herbstferien
2016-12-23,Weihnachtsferien
2016-12-24,Weihnachtsferien
2016-12-25,Weihnachtsferien
2016-12-26,Weihnachtsferien
2016-12-27,Weihnachtsferien
2016-12-28,Weihnachtsferien
2016-12-29,Weihnachtsferien
2016-12-30,Weihnachtsferien
2016-12-31,Weihnachtsferien
2017-01-01,Weihnachtsferien
2017-01-02,Weihnachtsferien
2017-01-03,Weihnachtsferien
2017-01-04,Weihnachtsferien
2017-01-05,Weihnachtsferien
2017-01-06,Weihnachtsferien
2017-04-07,Osterferien
2017-04-08,Osterferien
2017-04-09,Osterferien
2017-04-10,Osterferien
2017-04-11,Osterferien
2017-04-12,Osterferien
2017-04-13,Osterferien
2017-04-14,Osterferien
2017-04-15,Osterferien
2017-04-16,Osterferien
2017-04-17,Osterferien
2017-04-18,Osterferien
2017-04-19,Osterferien
2017-04-20,Osterferien
2017-04-21,Osterferien
2017-05-26,Pfingsten
2017-07-24,Sommerferien
2017-07-25,Sommerferien
2017-07-26,Sommerferien
2017-07-27,Sommerferien
2017-07-28,Sommerferien
2017-07-29,Sommerferien
2017-07-30,Sommerferien
2017-07-31,Sommerferien
2017-08-01,Sommerferien
2017-08-02,Sommerferien
2017-08-03,Sommerferien
2017-08-04,Sommerferien
2017-08-05,Sommerferien
2017-08-06,Sommerferien
2017-08-07,Sommerferien
2017-08-08,Sommerferien
2017-08-09,Sommerferien
2017-08-10,Sommerferien
2017-08-11,Sommerferien
2017-08-12,Sommerferien
2017-08-13,Sommerferien
2017-08-14,Sommerferien
2017-08-15,Sommerferien
2017-08-16,Sommerferien
2017-08-17,Sommerferien
2017-08-18,Sommerferien
2017-08-19,Sommerferien
2017-08-20,Sommerferien
2017-08-21,Sommerferien
2017-08-22,Sommerferien
2017-08-23,Sommerferien
2017-08-24,Sommerferien
2017-08-25,Sommerferien
2017-08-26,Sommerferien
2017-08-27,Sommerferien
2017-08-28,Sommerferien
2017-08-29,Sommerferien
2017-08-30,Sommerferien
2017-08-31,Sommerferien
2017-09-01,Sommerferien
2017-09-02,Sommerferien
2017-10-16,Herbstferien
2017-10-17,Herbstferien
2017-10-18,Herbstferien
2017-10-19,Herbstferien
2017-10-20,Herbstferien
2017-10-21,Herbstferien
2017-10-22,Herbstferien
2017-10-23,Herbstferien
2017-10-24,Herbstferien
2017-10-25,Herbstferien
2017-10-26,Herbstferien
2017-10-27,Herbstferien
2017-12-21,Weihnachtsferien
2017-12-22,Weihnachtsferien
2017-12-23,Weihnachtsferien
2017-12-24,Weihnachtsferien
2017-12-25,Weihnachtsferien
2017-12-26,Weihnachtsferien
2017-12-27,Weihnachtsferien
2017-12-28,Weihnachtsferien
2017-12-29,Weihnachtsferien
2017-12-30,Weihnachtsferien
2017-12-31,Weihnachtsferien
2018-01-01,Weihnachtsferien
2018-01-02,Weihnachtsferien
2018-01-03,Weihnachtsferien
2018-01-04,Weihnachtsferien
2018-01-05,Weihnachtsferien
2018-01-06,Weihnachtsferien
2018-03-29,Osterferien
2018-03-30,Osterferien
2018-03-31,Osterferien
2018-04-01,Osterferien
2018-04-02,Osterferien
2018-04-03,Osterferien
2018-04-04,Osterferien
2018-04-05,Osterferien
2018-04-06,Osterferien
2018-04-07,Osterferien
2018-04-08,Osterferien
2018-04-09,Osterferien
2018-04-10,Osterferien
2018-04-11,Osterferien
2018-04-12,Osterferien
2018-04-13,Osterferien
2018-05-11,Pfingsten
2018-07-09,Sommerferien
2018-07-10,Sommerferien
2018-07-11,Sommerferien
2018-07-12,Sommerferien
2018-07-13,Sommerferien
2018-07-14,Sommerferien
2018-07-15,Sommerferien
2018-07-16,Sommerferien
2018-07-17,Sommerferien
2018-07-18,Sommerferien
2018-07-19,Sommerferien
2018-07-20,Sommerferien
2018-07-21,Sommerferien
2018-07-22,Sommerferien
2018-07-23,Sommerferien
2018-07-24,Sommerferien
2018-07-25,Sommerferien
2018-07-26,Sommerferien
2018-07-27,Sommerferien
2018-07-28,Sommerferien
2018-07-29,Sommerferien
2018-07-30,Sommerferien
2018-07-31,Sommerferien
2018-08-01,Sommerferien
2018-08-02,Sommerferien
2018-08-03,Sommerferien
2018-08-04,Sommerferien
2018-08-05,Sommerferien
2018-08-06,Sommerferien
2018-08-07,Sommerferien
2018-08-08,Sommerferien
2018-08-09,Sommerferien
2018-08-10,Sommerferien
2018-08-11,Sommerferien
2018-08-12,Sommerferien
2018-08-13,Sommerferien
2018-08-14,Sommerferien
2018-08-15,Sommerferien
2018-08-16,Sommerferien
2018-08-17,Sommerferien
2018-08-18,Sommerferien
2018-10-01,Herbstferien
2018-10-02,Herbstferien
2018-10-03,Herbstferien
2018-10-04,Herbstferien
2018-10-05,Herbstferien
2018-10-06,Herbstferien
2018-10-07,Herbstferien
2018-10-08,Herbstferien
2018-10-09,Herbstferien
2018-10-10,Herbstferien
2018-10-11,Herbstferien
2018-10-12,Herbstferien
2018-10-13,Herbstferien
2018-10-14,Herbstferien
2018-10-15,Herbstferien
2018-10-16,Herbstferien
2018-10-17,Herbstferien
2018-10-18,Herbstferien
2018-10-19,Herbstferien
2018-12-21,Weihnachtsferien
2018-12-22,Weihnachtsferien
2018-12-23,Weihnachtsferien
2018-12-24,Weihnachtsferien
2018-12-25,Weihnachtsferien
2018-12-26,Weihnachtsferien
2018-12-27,Weihnachtsferien
2018-12-28,Weihnachtsferien
2018-12-29,Weihnachtsferien
2018-12-30,Weihnachtsferien
2018-12-31,Weihnachtsferien
2019-01-01,Weihnachtsferien
2019-01-02,Weihnachtsferien
2019-01-03,Weihnachtsferien
2019-01-04,Weihnachtsferien
2019-04-04,Osterferien
2019-04-05,Osterferien
2019-04-06,Osterferien
2019-04-07,Osterferien
2019-04-08,Osterferien
2019-04-09,Osterferien
2019-04-10,Osterferien
2019-04-11,Osterferien
2019-04-12,Osterferien
2019-04-13,Osterferien
2019-04-14,Osterferien
2019-04-15,Osterferien
2019-04-16,Osterferien
2019-04-17,Osterferien
2019-04-18,Osterferien
2019-05-31,Pfingsten
2019-07-01,Sommerferien
2019-07-02,Sommerferien
2019-07-03,Sommerferien
2019-07-04,Sommerferien
2019-07-05,Sommerferien
2019-07-06,Sommerferien
2019-07-07,Sommerferien
2019-07-08,Sommerferien
2019-07-09,Sommerferien
2019-07-10,Sommerferien
2019-07-11,Sommerferien
2019-07-12,Sommerferien
2019-07-13,Sommerferien
2019-07-14,Sommerferien
2019-07-15,Sommerferien
2019-07-16,Sommerferien
2019-07-17,Sommerferien
2019-07-18,Sommerferien
2019-07-19,Sommerferien
2019-07-20,Sommerferien
2019-07-21,Sommerferien
2019-07-22,Sommerferien
2019-07-23,Sommerferien
2019-07-24,Sommerferien
2019-07-25,Sommerferien
2019-07-26,Sommerferien
2019-07-27,Sommerferien
2019-07-28,Sommerferien
2019-07-29,Sommerferien
2019-07-30,Sommerferien
2019-07-31,Sommerferien
2019-08-01,Sommerferien
2019-08-02,Sommerferien
2019-08-03,Sommerferien
2019-08-04,Sommerferien
2019-08-05,Sommerferien
2019-08-06,Sommerferien
2019-08-07,Sommerferien
2019-08-08,Sommerferien
2019-08-09,Sommerferien
2019-08-10,Sommerferien
2019-10-04,Herbstferien
2019-10-05,Herbstferien
2019-10-06,Herbstferien
2019-10-07,Herbstferien
2019-10-08,Herbstferien
2019-10-09,Herbstferien
2019-10-10,Herbstferien
2019-10-11,Herbstferien
2019-10-12,Herbstferien
2019-10-13,Herbstferien
2019-10-14,Herbstferien
2019-10-15,Herbstferien
2019-10-16,Herbstferien
2019-10-17,Herbstferien
2019-10-18,Herbstferien
2019-12-23,Weihnachtsferien
2019-12-24,Weihnachtsferien
2019-12-25,Weihnachtsferien
2019-12-26,Weihnachtsferien
2019-12-27,Weihnachtsferien
2019-12-28,Weihnachtsferien
2019-12-29,Weihnachtsferien
2019-12-30,Weihnachtsferien
2019-12-31,Weihnachtsferien
2020-01-01,Weihnachtsferien
2020-01-02,Weihnachtsferien
2020-01-03,Weihnachtsferien
2020-01-04,Weihnachtsferien
2020-01-05,Weihnachtsferien
2020-01-06,Weihnachtsferien
2020-03-30,Osterferien
2020-03-31,Osterferien
2020-04-01,Osterferien
2020-04-02,Osterferien
2020-04-03,Osterferien
2020-04-04,Osterferien
2020-04-05,Osterferien
2020-04-06,Osterferien
2020-04-07,Osterferien
2020-04-08,Osterferien
2020-04-09,Osterferien
2020-04-10,Osterferien
2020-04-11,Osterferien
2020-04-12,Osterferien
2020-04-13,Osterferien
2020-04-14,Osterferien
2020-04-15,Osterferien
2020-04-16,Osterferien
2020-04-17,Osterferien
2020-05-22,Pfingsten
2020-06-29,Sommerferien
2020-06-30,Sommerferien
2020-07-01,Sommerferien
2020-07-02,Sommerferien
2020-07-03,Sommerferien
2020-07-04,Sommerferien
2020-07-05,Sommerferien
2020-07-06,Sommerferien
2020-07-07,Sommerferien
2020-07-08,Sommerferien
2020-07-09,Sommerferien
2020-07-10,Sommerferien
2020-07-11,Sommerferien
2020-07-12,Sommerferien
2020-07-13,Sommerferien
2020-07-14,Sommerferien
2020-07-15,Sommerferien
2020-07-16,Sommerferien
2020-07-17,Sommerferien
2020-07-18,Sommerferien
2020-07-19,Sommerferien
2020-07-20,Sommerferien
2020-07-21,Sommerferien
2020-07-22,Sommerferien
2020-07-23,Sommerferien
2020-07-24,Sommerferien
2020-07-25,Sommerferien
2020-07-26,Sommerferien
2020-07-27,Sommerferien
2020-07-28,Sommerferien
2020-07-29,Sommerferien
2020-07-30,Sommerferien
2020-07-31,Sommerferien
2020-08-01,Sommerferien
2020-08-02,Sommerferien
2020-08-03,Sommerferien
2020-08-04,Sommerferien
2020-08-05,Sommerferien
2020-08-06,Sommerferien
2020-08-07,Sommerferien
2020-08-08,Sommerferien
2020-10-05,Herbstferien
2020-10-06,Herbstferien
2020-10-07,Herbstferien
2020-10-08,Herbstferien
2020-10-09,Herbstferien
2020-10-10,Herbstferien
2020-10-11,Herbstferien
2020-10-12,Herbstferien
2020-10-13,Herbstferien
2020-10-14,Herbstferien
2020-10-15,Herbstferien
2020-10-16,Herbstferien
2020-10-17,Herbstferien
2020-12-21,Weihnachtsferien
2020-12-22,Weihnachtsferien
2020-12-23,Weihnachtsferien
2020-12-24,Weihnachtsferien
2020-12-25,Weihnachtsferien
2020-12-26,Weihnachtsferien
2020-12-27,Weihnachtsferien
2020-12-28,Weihnachtsferien
2020-12-29,Weihnachtsferien
2020-12-30,Weihnachtsferien
2020-12-31,Weihnachtsferien
2021-01-01,Weihnachtsferien
2021-01-02,Weihnachtsferien
2021-01-03,Weihnachtsferien
2021-01-04,Weihnachtsferien
2021-01-05,Weihnachtsferien
2021-01-06,Weihnachtsferien
